Time,Temperature (°C),Dew Point (°C),Wind Speed (knots),Wind Direction (°),Surface Pressure (hPa),Weather Event,METAR Report,Total Precipitation (mm)
2022-01-25 00:20:00,-2.0,-4.0,21.0,10.0,1028.0,,LTFM 250020Z 01021KT 9999 BKN025 M02/M04 Q1028 NOSIG,0.0
2022-01-25 00:50:00,-2.0,-4.0,21.0,10.0,1028.0,,LTFM 250050Z 01021KT 9999 BKN025 M02/M04 Q1028 NOSIG,0.0
2022-01-25 01:20:00,-2.0,-3.0,20.0,10.0,1028.0,,LTFM 250120Z 01020KT 9999 BKN025 M02/M03 Q1028 NOSIG RMK RWY17L 36015KT RWY34L 36023KT RWY16R 36018KT RWY36 01022KT RWY18 01019KT,0.0
2022-01-25 01:50:00,-1.0,-4.0,22.0,10.0,1028.0,,LTFM 250150Z 01022KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 02:20:00,-1.0,-4.0,21.0,10.0,1028.0,,LTFM 250220Z 01021KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 02:50:00,-1.0,-4.0,24.0,10.0,1028.0,,LTFM 250250Z 01024KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 03:20:00,-1.0,-4.0,21.0,10.0,1028.0,,LTFM 250320Z 01021KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 03:50:00,-1.0,-3.0,20.0,10.0,1028.0,,LTFM 250350Z 01020KT 9999 BKN025 M01/M03 Q1028 NOSIG,0.0
2022-01-25 04:20:00,-1.0,-4.0,19.0,10.0,1028.0,,LTFM 250420Z 01019KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 04:50:00,-1.0,-4.0,18.0,10.0,1028.0,,LTFM 250450Z 01018KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 05:20:00,-1.0,-4.0,18.0,10.0,1028.0,,LTFM 250520Z 01018KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 05:50:00,-1.0,-4.0,18.0,10.0,1027.0,,LTFM 250550Z 01018KT 9999 BKN025 M01/M04 Q1027 NOSIG,0.0
2022-01-25 06:20:00,-1.0,-4.0,16.0,360.0,1028.0,,LTFM 250620Z 36016KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 06:50:00,-1.0,-4.0,17.0,10.0,1028.0,,LTFM 250650Z 01017KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 07:20:00,-1.0,-4.0,17.0,10.0,1028.0,,LTFM 250720Z 01017KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 07:50:00,-1.0,-4.0,16.0,10.0,1028.0,,LTFM 250750Z 01016KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 08:20:00,-1.0,-4.0,17.0,360.0,1027.0,,LTFM 250820Z 36017KT 9999 BKN025 M01/M04 Q1027 NOSIG,0.0
2022-01-25 08:50:00,-1.0,-3.0,17.0,10.0,1027.0,-SHSN,COR LTFM 250850Z 01017KT 9999 -SHSN FEW016 BKN025 M01/M03 Q1027 NOSIG,0.0
2022-01-25 09:20:00,-1.0,-3.0,18.0,10.0,1027.0,-SHSN,LTFM 250920Z 01018KT 9999 -SHSN FEW016 BKN025 M01/M03 Q1027 NOSIG,0.0
2022-01-25 09:50:00,-1.0,-4.0,17.0,10.0,1027.0,-SHSN,LTFM 250950Z 01017KT 9999 -SHSN FEW016 BKN025 M01/M04 Q1027 NOSIG,0.0
2022-01-25 10:20:00,-1.0,-4.0,18.0,10.0,1026.0,,LTFM 251020Z 01018KT 9999 FEW016 BKN025 M01/M04 Q1026 RESHSN NOSIG,0.0
2022-01-25 10:50:00,-1.0,-4.0,16.0,10.0,1026.0,,LTFM 251050Z 01016KT 9999 FEW016 BKN025 M01/M04 Q1026 NOSIG,0.0
2022-01-25 11:20:00,-1.0,-5.0,18.0,10.0,1026.0,-SHSN,LTFM 251120Z 01018KT 9999 -SHSN BKN026 M01/M05 Q1026 NOSIG,0.0
2022-01-25 11:50:00,-1.0,-4.0,18.0,360.0,1026.0,-SHSN,LTFM 251150Z 36018KT 9999 -SHSN BKN026 M01/M04 Q1026 NOSIG,0.0
2022-01-25 12:20:00,-1.0,-4.0,16.0,10.0,1026.0,,LTFM 251220Z 01016KT 7000 -SHRA BKN026 M01/M04 Q1026 NOSIG,0.0
2022-01-25 12:50:00,-2.0,-3.0,15.0,350.0,1026.0,-SHSN,LTFM 251250Z 35015KT 6000 -SHSN FEW015 BKN026 M02/M03 Q1026 NOSIG,0.0
2022-01-25 13:20:00,-1.0,-4.0,14.0,350.0,1026.0,-SHSN,LTFM 251320Z 35014KT 7000 -SHSN FEW015 BKN026 M01/M04 Q1026 NOSIG,0.0
2022-01-25 13:50:00,-2.0,-4.0,16.0,20.0,1025.0,-SHSN,LTFM 251350Z 02016KT 8000 3700N -SHSN FEW018 BKN026 M02/M04 Q1025 NOSIG,0.0
2022-01-25 14:20:00,-1.0,-4.0,14.0,10.0,1025.0,-SHSN,LTFM 251420Z 01014KT 9999 -SHSN BKN022 M01/M04 Q1025 NOSIG,0.0
2022-01-25 14:50:00,-1.0,-4.0,13.0,20.0,1025.0,-SHSN,LTFM 251450Z 02013KT 9999 -SHSN BKN022 M01/M04 Q1025 NOSIG,0.0
2022-01-25 15:20:00,-1.0,-4.0,12.0,10.0,1025.0,,LTFM 251520Z 01012KT 9999 BKN028 M01/M04 Q1025 RESHSN NOSIG,0.0
2022-01-25 15:50:00,-1.0,-5.0,14.0,20.0,1025.0,,LTFM 251550Z 02014KT 9999 BKN028 M01/M05 Q1025 NOSIG,0.0
2022-01-25 16:20:00,-1.0,-5.0,13.0,10.0,1025.0,-SHSN,LTFM 251620Z 01013KT 9999 -SHSN BKN028 M01/M05 Q1025 NOSIG,0.0
2022-01-25 16:50:00,-1.0,-5.0,13.0,20.0,1025.0,,LTFM 251650Z 02013KT 9999 BKN028 M01/M05 Q1025 RESHSN NOSIG,0.0
2022-01-25 17:20:00,-2.0,-6.0,12.0,10.0,1025.0,,LTFM 251720Z 01012KT 9999 BKN028 M02/M06 Q1025 NOSIG,0.0
2022-01-25 17:50:00,-1.0,-5.0,13.0,10.0,1025.0,,LTFM 251750Z 01013KT 9999 BKN028 M01/M05 Q1025 NOSIG,0.0
2022-01-25 18:20:00,-2.0,-5.0,12.0,20.0,1024.0,,LTFM 251820Z 02012KT 9999 BKN028 M02/M05 Q1024 NOSIG,0.0
2022-01-25 18:50:00,-1.0,-5.0,14.0,10.0,1024.0,,LTFM 251850Z 01014KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 19:20:00,-1.0,-5.0,12.0,20.0,1025.0,,LTFM 251920Z 02012KT 9999 BKN028 M01/M05 Q1025 NOSIG,0.0
2022-01-25 19:50:00,-1.0,-5.0,12.0,30.0,1025.0,,LTFM 251950Z 03012KT 9999 BKN028 M01/M05 Q1025 NOSIG,0.0
2022-01-25 20:20:00,0.0,-5.0,11.0,20.0,1024.0,,LTFM 252020Z 02011KT 9999 BKN028 M00/M05 Q1024 NOSIG,0.0
2022-01-25 20:50:00,0.0,-5.0,10.0,20.0,1024.0,,LTFM 252050Z 02010KT 9999 BKN028 M00/M05 Q1024 NOSIG,0.0
2022-01-25 21:20:00,-1.0,-5.0,12.0,20.0,1024.0,,LTFM 252120Z 02012KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 21:50:00,-1.0,-5.0,9.0,20.0,1024.0,,LTFM 252150Z 02009KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 22:20:00,-1.0,-5.0,10.0,10.0,1024.0,,LTFM 252220Z 01010KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 22:50:00,-1.0,-5.0,13.0,20.0,1024.0,,LTFM 252250Z 02013KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 23:20:00,-1.0,-5.0,12.0,10.0,1024.0,,LTFM 252320Z 01012KT 9999 BKN028 M01/M05 Q1024 NOSIG,0.0
2022-01-25 23:50:00,0.0,-8.0,13.0,20.0,1024.0,,LTFM 252350Z 02013KT 9999 BKN028 M00/M08 Q1024 NOSIG,0.0
